# Wembley Stadium — Weekly Monitor
# Exported: 12/04/2026, 03:20:26
# Source: Ticketmaster Discovery API

"Date","Day","Time","Event Name","Type"
"2026-04-16","Thursday","19:30","Drain w/ No Pressure","concert"
"2026-04-17","Friday","21:00","Miss Bashful (21 and Over)","concert"
"2026-04-18","Saturday","20:00","Goldfinger (21 and Over)","concert"
"2026-04-19","Sunday","20:00","Bethel Music","concert"
"2026-04-20","Monday","19:30","Free Throw","concert"
"2026-04-22","Wednesday","20:00","CMAT","sport"
"2026-04-24","Friday","21:00","Beauz (18 and Over)","concert"
"2026-04-25","Saturday","21:00","AYYBO (21 and Over)","sport"
"2026-04-28","Tuesday","20:00","Jensen McRae","concert"
"2026-04-29","Wednesday","20:00","The Brook and The Bluff","concert"
"2026-04-30","Thursday","20:00","Pub Choir","concert"
"2026-05-02","Saturday","20:00","The Academy Is... (21 and Over)","concert"
"2026-05-03","Sunday","20:00","lou deezi","sport"
"2026-05-07","Thursday","20:30","Chet Faker","concert"
"2026-05-08","Friday","20:00","The New Pornographers (21 and Over)","concert"
"2026-05-09","Saturday","21:00","Cyclops","sport"
"2026-05-12","Tuesday","20:30","Joyce Manor w/ Militarie Gun","concert"
"2026-05-13","Wednesday","20:00","Protoje","concert"
"2026-05-14","Thursday","20:00","Irina Rimes","sport"
"2026-05-16","Saturday","21:00","Starjunk 95","sport"
"2026-05-18","Monday","20:00","Dry Cleaning","concert"
"2026-05-19","Tuesday","20:00","St. Lucia","concert"
"2026-05-21","Thursday","20:15","Kitty Kat Ball (18 and Over)","sport"
"2026-05-23","Saturday","20:00","Hemlocke Springs - All Ages to Enter, 21 & Over to Drink","concert"
"2026-05-24","Sunday","20:00","Smokedope2016 w/ GHOSTFACEKUSH","concert"
"2026-05-29","Friday","21:00","yetep","concert"
"2026-05-30","Saturday","20:30","Josiah & the Bonnevilles","concert"
"2026-05-31","Sunday","19:00","Thornhill w/ 156 Silence","concert"
"2026-06-02","Tuesday","20:00","Clara La San","concert"
"2026-06-04","Thursday","20:00","The Cab","concert"
"2026-06-05","Friday","20:00","The Church (21 & Over)","concert"
"2026-06-09","Tuesday","20:00","The Toadies","concert"
"2026-06-12","Friday","20:30","A Late Night R&B Experience (21 and Over)","concert"
"2026-06-13","Saturday","19:00","Aquabats","concert"
"2026-06-14","Sunday","19:30","Death Angel","concert"
"2026-06-22","Monday","20:00","RX Bandits","concert"
"2026-06-23","Tuesday","20:00","Underscores w/ Umru","sport"
"2026-06-23","Tuesday","20:00","underscores w/ Umru","sport"
"2026-06-24","Wednesday","20:00","Holly Humberstone","concert"
"2026-06-26","Friday","20:00","Chris Travis","concert"
"2026-06-28","Sunday","20:30","Redferrin w/ Payton Sullivan","sport"
"2026-07-02","Thursday","19:30","Joshua Slone","sport"
"2026-07-05","Sunday","20:00","Wolfmother (21 and Over)","concert"
"2026-07-10","Friday","21:00","Aaron Hibell","concert"
"2026-07-12","Sunday","20:00","Have a Nice Life","concert"
"2026-07-27","Monday","20:00","Black Moth Super Rainbow w/ Giant Day","concert"
"2026-08-11","Tuesday","20:00","Tomahawk","concert"
"2026-08-12","Wednesday","20:00","Tomahawk","concert"
"2026-08-21","Friday","20:00","Grunge Night","concert"
"2026-08-23","Sunday","20:00","Nine Vicious","sport"
"2026-08-29","Saturday","20:00","The Hip Abduction (21 and Over)","concert"
"2026-09-04","Friday","20:00","Slayyyter","concert"
"2026-09-25","Friday","20:30","Peter Hook & The Light (21 and Over)","concert"
"2026-10-01","Thursday","21:30","Oskar med K (18 and Over)","concert"
"2026-10-21","Wednesday","20:00","Julia Wolf w/ Bee Blackwell","concert"
"2026-11-13","Friday","20:00","Inna","concert"
